lang;census;pub;branch;;;log_census;log_pub
Avar;384945;442;Avar-Andic;;;5,585398683;2,645422269
Aghul;10753;123;Lezgic;;;4,031529646;2,089905111
Andi;28498;109;Avar-Andic;;;4,454814382;2,037426498
Archi;1116;77;Lezgic;;;3,047664195;1,886490725
Akhvakh;5023;72;Avar-Andic;;;3,700963178;1,857332496
Bagvalal;4564;57;Avar-Andic;;;3,659345636;1,755874856
Bezhta;4549;86;Tsezic;;;3,657915937;1,934498451
Botlikh;12618;50;Avar-Andic;;;4,100990523;1,698970004
Budukh;200;40;Lezgic;;;2,301029996;1,602059991
Hinuq;543;62;Tsezic;;;2,73479983;1,792391689
Godoberi;3211;55;Avar-Andic;;;3,506640306;1,740362689
Hunzib;934;39;Tsezic;;;2,970346876;1,591064607
Dargwa;265635;307;Dargwic;;;5,424285297;2,487138375
Karata;12300;56;Avar-Andic;;;4,089905111;1,748188027
Kryz;4400;43;Lezgic;;;3,643452676;1,633468456
Lak;140000;147;Lak;;;5,146128036;2,167317335
Lezgian;204433;253;Lezgic;;;5,310551002;2,403120521
Rutul;11631;96;Lezgic;;;4,065617056;1,982271233
Tabasaran;59395;158;Lezgic;;;4,773749887;2,198657087
Tindi;8986;37;Avar-Andic;;;3,953566414;1,568201724
Udi;4900;115;Lezgic;;;3,69019608;2,06069784
Khwarshi;1890;59;Tsezic;;;3,276461804;1,770852012
Khinalug;2200;31;Khinalug;;;3,342422681;1,491361694
Tsakhur;5457;85;Lezgic;;;3,736953954;1,929418926
Tsez;10930;88;Tsezic;;;4,038620162;1,944482672
Chamalal;6614;51;Avar-Andic;;;3,820464191;1,707570176
Chechen;1300000;251;Nakh;;;6,113943352;2,399673721
Ingush;293000;138;Nakh;;;5,46686762;2,139879086
Tsova-Tush;500;53;Nakh;;;2,698970004;1,72427587
